river,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bird,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
foreground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
middle ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
background,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
window,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
leaded glass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
chair,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
far distance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
physical contact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
